5,2,350
6,2,60
7,0,0
1,26,1580
2,1,180
3,18,1070
4,2,100
5,7,480
6,4,210
7,6,610
1,4,250
2,2,60
3,6,350
4,2,200
5,5,280
6,7,280
7,10,500
1,21,1215
2,12,490
3,1,50
4,6,480
5,4,325
6,8,240
7,1,150
1,11,540
2,7,500
3,7,365
4,2,120
5,17,995
6,1,75
7,0,0
1,7,385
2,10,410
3,5,300
4,2,200
5,0,0
6,2,100
7,3,240
1,9,520
2,4,100
3,0,0
4,0,0
5,6,310
6,0,0
7,3,450
1,14,850
2,10,435
3,4,275
4,4,160
5,0,0
6,4,215
7,0,0
1,0,0
2,26,1635
3,3,75
4,2,100
5,2,120
6,15,850
7,4,220
1,9,600
2,10,480
3,5,225
4,0,0
5,3,185
6,0,0
7,0,0
1,1,50
2,24,1375
3,3,160
4,0,0
5,0,0
6,0,0
7,0,0
1,5,325
2,4,270
3,22,1110
4,0,0
5,2,85
6,5,260
7,8,475
1,0,0
2,3,125
3,1,75
4,0,0
5,6,320
6,0,0
1,8,350
2,2,120
3,0,0
4,0,0
5,14,655
6,0,0
7,0,0
1,5,140
2,8,350
3,2,100
4,1,25
5,0,0
6,0,0
7,0,0
1,0,0
2,0,0
3,1,130
